id	term	freq	category.size
GO:0007399	nervous system development	28	52
GO:0045202	synapse	24	1713
GO:0048699	generation of neurons	21	101
GO:0022008	neurogenesis	20	64
GO:0030182	neuron differentiation	19	457
GO:0048468	cell development	18	1083
GO:0048666	neuron development	15	1070
GO:0030030	cell projection organization	13	788
GO:0031175	neuron projection development	13	515
GO:0044456	synapse part	13	483
GO:0098794	postsynapse	13	479
GO:0043005	neuron projection	12	817
GO:0051960	regulation of nervous system development	11	706
GO:0097458	neuron part	11	467
GO:0120036	plasma membrane bounded cell projection organization	11	225
GO:0014069	postsynaptic density	8	221
GO:0097060	synaptic membrane	8	818
GO:0099572	postsynaptic specialization	8	122
GO:0120025	plasma membrane bounded cell projection	8	122
GO:0007610	behavior	7	334
GO:0032279	asymmetric synapse	7	195
GO:0098984	neuron to neuron synapse	7	124
GO:0120039	plasma membrane bounded cell projection morphogenesis	7	121
GO:0007267	cell-cell signaling	6	224
GO:0007417	central nervous system development	6	1244
GO:0032990	cell part morphogenesis	6	1231
GO:0042391	regulation of membrane potential	6	671
GO:0048812	neuron projection morphogenesis	6	671
GO:0000902	cell morphogenesis	5	146
GO:0007268	chemical synaptic transmission	5	29
GO:0007416	synapse assembly	5	53
GO:0030534	adult behavior	5	10
GO:0034702	ion channel complex	5	59
GO:0034703	cation channel complex	5	659
GO:0042995	cell projection	5	373
GO:0044708	single-organism behavior	5	870
GO:0048858	cell projection morphogenesis	5	1502
GO:0050804	modulation of synaptic transmission	5	88
GO:0050808	synapse organization	5	521
GO:0051962	positive regulation of nervous system development	5	363
GO:0060284	regulation of cell development	5	152
GO:0098916	anterograde trans-synaptic signaling	5	1953
GO:0099536	synaptic signaling	5	740
GO:0099537	trans-synaptic signaling	5	1486
GO:0000904	cell morphogenesis involved in differentiation	4	1045
GO:0006928	movement of cell or subcellular component	4	1354
GO:0007411	axon guidance	4	738
GO:0007420	brain development	4	1021
GO:0016358	dendrite development	4	956
GO:0040011	locomotion	4	1550
GO:0045211	postsynaptic membrane	4	1366
GO:0048870	cell motility	4	1321
GO:0050767	regulation of neurogenesis	4	1316
GO:0050793	regulation of developmental process	4	1126
GO:0050807	regulation of synapse organization	4	1733
GO:0051094	positive regulation of developmental process	4	592
GO:0051674	localization of cell	4	587
GO:0097485	neuron projection guidance	4	801
GO:0007155	cell adhesion	3	551
GO:0007626	locomotory behavior	3	1243
GO:0009888	tissue development	3	1146
GO:0016477	cell migration	3	663
GO:0030424	axon	3	509
GO:0035249	synaptic transmission, glutamatergic	3	1033
GO:0048667	cell morphogenesis involved in neuron differentiation	3	1778
GO:0050803	regulation of synapse structure or activity	3	1303
GO:0050805	negative regulation of synaptic transmission	3	1959
GO:0050890	cognition	3	10
GO:0051963	regulation of synapse assembly	3	850
GO:0060322	head development	3	1269
GO:0061564	axon development	3	666
GO:0098590	plasma membrane region	3	1295
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	3	866
