gene_id	gene_name	chromosome	start	end
ENSMUSG00000016984	Etaa1	11	17938756	17953875
ENSMUSG00000042208	0610010F05Rik	11	23564961	23633639
ENSMUSG00000044949	Ubtd2	11	32455370	32516687
ENSMUSG00000048616	Nog	11	89300638	89302332
ENSMUSG00000084183	Gm12009	11	15049158	15050257
ENSMUSG00000018168	Ikzf3	11	98464902	98546031
ENSMUSG00000082983	Gm12318	11	70762107	70762379
ENSMUSG00000065201	Gm24612	11	82596073	82596179
ENSMUSG00000084055	Gm12004	11	12997666	12998383
ENSMUSG00000050541	Adra1b	11	43774606	43901210
ENSMUSG00000069588	Gm11733	11	117484368	117489014
ENSMUSG00000083844	2210015D19Rik	11	5762129	5784710
ENSMUSG00000020303	Stc2	11	31357307	31370074
ENSMUSG00000049336	Tenm2	11	36006656	37235964
ENSMUSG00000083548	Gm11514	11	95176813	95177244
ENSMUSG00000020173	Cobl	11	12236608	12464960
ENSMUSG00000055670	Zzef1	11	72796226	72927120
ENSMUSG00000020541	Tom1l1	11	90643465	90688366
ENSMUSG00000081629	Eif3s6-ps1	11	9737152	9737621
ENSMUSG00000043857	Mgat5b	11	116918863	116986948
ENSMUSG00000015755	Tab2	10	7905653	7956230
ENSMUSG00000039981	Zc3h12d	10	7832470	7870397
ENSMUSG00000019893	Ros1	10	52045721	52195244
ENSMUSG00000019865	Nmbr	10	14705591	14770850
ENSMUSG00000019892	Lrriq1	10	103063198	103236322
ENSMUSG00000065630	Gm24256	10	48619312	48619395
ENSMUSG00000047712	Ust	10	8204753	8518825
ENSMUSG00000074785	Plxnc1	10	94790866	94944578
ENSMUSG00000035383	Pmch	10	88091072	88092375
ENSMUSG00000080526	Mir466j	10	60960723	60960844
ENSMUSG00000020180	Snrpd3	10	75517551	75537373
ENSMUSG00000052613	Pcdh15	10	73099342	74649737
ENSMUSG00000028630	Dyrk2	10	118859349	118868903
ENSMUSG00000053830	Gm9923	10	72309225	72311848
ENSMUSG00000019820	Utrn	10	12382188	12861735
ENSMUSG00000065718	Gm25650	10	46838346	46838507
ENSMUSG00000044071	Fam19a2	10	123264076	123741204
ENSMUSG00000071434	9230019H11Rik	10	3119841	3129546
ENSMUSG00000019876	Pkib	10	57631981	57741112
ENSMUSG00000043822	Adamtsl5	10	80339110	80348412
